	#	Owner	Build name	Sets	Crit RatioCrit ValueCrit RateCrit DMG	Max HP	ATK	DEF	EM	ER%	Unnamed: 10
65	66	ASIAYuuki	Hu Tao	4	83.6 : 236.9 239.5 cv	28905	1711	876	269	105.2%	57048
66	67	EUKirito	Hu Tao	4	82.0 : 250.9 250.3 cv	29244	1812	920	210	100.0%	57039
67	68	ASIARua	Hu Tao	4	87.0 : 234.6 244.1 cv	31022	1674	927	248	100.0%	57039
68	69	ASIA湊	Hu Tao	4	88.2 : 225.3 237.1 cv	26794	1833	892	269	100.0%	57032
69	70	NASanProuk04	Hu Tao	4	81.6 : 242.4 241.0 cv	27433	1648	958	318	117.5%	56999
70	71	CN阿哲	Hu Tao	4	82.4 : 237.7 237.9 cv	25435	1678	1014	359	100.0%	56990
71	72	NAOwen:)	Hu Tao	4	92.9 : 215.2 236.4 cv	33230	1981	895	135	100.0%	56958
72	73	CN夏川	Hu Tao	4	96.8 : 223.7 252.7 cv	28791	1729	980	206	100.0%	56944
73	74	NATwinkle	Hu Tao	4	84.7 : 258.7 263.5 cv	26302	1657	892	262	104.5%	56933
74	75	ASIA小啪	Hu Tao	4	85.5 : 230.7 237.1 cv	31112	1745	895	222	100.0%	56923
75	76	EUbeep	Hu Tao	4	74.2 : 232.3 216.1 cv	31057	1713	927	322	106.5%	56887
76	77	EUやるまりちゃん	Hu Tao	4	85.9 : 242.3 249.5 cv	27250	1767	916	245	100.0%	56869
77	78	ASIAMe-ga	Hu Tao	4	86.7 : 243.1 251.9 cv	29087	1848	876	187	100.0%	56850
78	79	ASIATushii	Hu Tao	4	80.4 : 237.7 234.0 cv	26668	1663	927	353	105.8%	56843
79	80	NAjstern25	cloggers	4	78.5 : 232.3 224.7 cv	29327	1733	921	308	100.0%	56831
80	81	ASIAぽち	Hu Tao	4	78.1 : 245.5 237.1 cv	29391	1750	927	266	100.0%	56815
81	82	ASIAlwk	Hu Tao	4	75.8 : 247.0 234.0 cv	30206	1755	918	266	100.0%	56802
82	83	CN暖颜	Hu Tao	4	72.7 : 233.0 213.8 cv	33326	1816	913	262	100.0%	56770
83	84	ASIAen☂﻿	homa dinkdonk	4	76.9 : 234.6 223.9 cv	33955	1779	876	221	111.0%	56765
84	85	ASIA古来(〆厨)	Hu Tao	4	75.8 : 235.4 222.3 cv	33326	1834	1010	224	100.0%	56726
85	86	CN安德鲁	Hu Tao	4	81.6 : 231.5 230.1 cv	29384	1683	897	294	106.5%	56690
86	87	NAActin	Hu Tao	4	74.6 : 234.6 219.2 cv	29880	1813	876	299	100.0%	56677
87	88	ASIAabocado	Hu Tao	4	76.2 : 262.6 250.3 cv	28035	1696	991	276	106.5%	56674
88	89	ASIAGoldenMeh	Hu Tao	4	77.7 : 256.4 247.2 cv	27342	1794	952	262	100.0%	56663
89	90	NATinzy	Hu Tao	4	90.5 : 226.8 243.3 cv	27633	1689	940	266	105.8%	56645
90	91	NANoobmaster69	Hu Tao	4	79.3 : 240.8 234.8 cv	28418	1666	957	311	106.5%	56638
91	92	CNEscapePlan	Hu Tao	4	77.7 : 241.6 232.4 cv	31258	1791	913	233	100.0%	56595
92	93	EUNomad	Hu Tao	4	69.2 : 243.9 217.7 cv	28609	1732	899	378	105.8%	56575
93	94	ASIAパンネェ	Hu Tao	4	85.1 : 257.9 263.5 cv	25492	1705	895	255	105.2%	56561
94	95	ASIANisei	Hu Tao	4	77.3 : 244.7 234.8 cv	24894	1760	895	360	105.8%	56541
95	96	NA觅涯	Hu Tao	4	83.5 : 214.4 216.9 cv	26979	1879	897	315	100.0%	56524
96	97	ASIAヤガミ	Hu Tao	4	71.1 : 230.7 208.4 cv	35678	1796	876	245	116.8%	56513
97	98	ASIA페트로슈카	Hu Tao	4	79.3 : 233.8 227.8 cv	31237	1736	934	255	113.0%	56495
98	99	ASIAIkuyo	Hu Tao	4	78.5 : 246.2 238.6 cv	26759	1691	932	325	100.0%	56486
99	100	EUVin	Hu Tao	4	83.2 : 228.4 230.1 cv	28817	1771	918	271	105.8%	56481
100	101	NASiN	Hu Tao	4	76.9 : 229.1 218.4 cv	30416	1719	876	308	100.0%	56473
101	102	EUShiinon	Hu Tao	4	82.8 : 227.6 228.6 cv	26644	1917	897	273	100.0%	56473
102	103	NAJetdar	Hu Tao	4	83.5 : 226.8 229.3 cv	30120	1847	892	229	100.0%	56466
103	104	CN神様Loki	Hu Tao	4	77.3 : 243.1 233.2 cv	34888	1858	899	163	100.0%	56432
104	105	ASIARalf	Hu Tao	4	74.6 : 247.8 232.4 cv	27939	1706	892	327	100.0%	56428
105	106	ASIAMvM	Hu Tao	4	75.4 : 241.6 227.8 cv	28701	1671	934	334	112.3%	56419
106	107	ASIAZexxceed	Hu Tao	4	71.5 : 269.5 248.0 cv	29720	1819	876	231	100.0%	56417
107	108	ASIAArnval	Hu Tao	4	80.8 : 238.5 235.5 cv	35912	1872	876	135	100.0%	56417
108	109	ASIAAlolize	Hu Tao	4	89.0 : 228.4 241.8 cv	31776	1761	975	182	111.7%	56380
109	110	ASIAアルヴィス	Hu Tao	4	78.1 : 243.9 235.5 cv	26644	1779	911	306	106.5%	56380
110	111	CNPigRZ	Hu Tao	4	85.1 : 242.4 248.0 cv	27340	1681	1024	266	111.0%	56379
111	112	NAGira	Hu Tao - Vape Solo ❌	4	80.8 : 237.7 234.8 cv	29240	1810	1007	243	100.0%	56371
112	113	CNLia	Hu Tao	4	77.3 : 267.2 257.3 cv	25800	1772	963	266	100.0%	56357
113	114	NABlack_Sotis	Hu Tao	4	78.5 : 217.5 209.9 cv	36730	1876	876	186	105.2%	56345
114	115	NASage	Hu Tao	4	74.2 : 249.4 233.2 cv	29424	1825	995	259	100.0%	56336
115	116	ASIAMercy	Hu Tao	4	85.5 : 222.2 228.6 cv	34706	1779	934	175	116.8%	56327
116	117	NAvvyat	Hu Tao	4	76.5 : 233.8 222.3 cv	37657	1832	876	159	100.0%	56324
117	118	ASIAinnUwU	Hu Tao	4	81.6 : 225.3 223.9 cv	30690	1803	892	247	116.8%	56280
118	119	EUKurisu~	Hu Tao	4	72.3 : 229.2 209.1 cv	33009	1841	876	266	100.0%	56278
119	120	ASIAazu	Hu Tao	4	84.7 : 232.3 237.1 cv	32561	1754	968	189	100.0%	56249
120	121	ASIABanHeesoo	Hu Tao	4	73.8 : 221.4 204.4 cv	27343	1738	897	425	100.0%	56229
121	122	EUBongripper	Hu Tao	4	83.9 : 206.6 209.9 cv	34041	1855	934	217	100.0%	56216
122	123	ASIAHearfourDataSS	Hu Tao - HCA/2	4	88.2 : 236.1 248.0 cv	32467	1914	876	126	106.5%	56202
123	124	ASIALighty	Hu Tao	4	76.5 : 241.6 230.1 cv	34497	1808	973	184	105.8%	56200
124	125	ASIAxuar	Hu Tao	4	90.9 : 247.8 265.1 cv	27340	1688	994	203	111.0%	56199
125	126	NANakayubi	Hu Tao	4	82.0 : 246.2 245.7 cv	26309	1687	1029	297	100.0%	56189
126	127	ASIALappie	Hu Tao	4	75.0 : 223.7 209.1 cv	30212	1731	1004	339	106.5%	56166
127	128	NATubs	Hu Tao	4	85.5 : 231.5 237.9 cv	29598	1687	978	248	104.5%	56165
128	129	ASIAナギノヨ	Hu Tao	4	83.9 : 209.0 212.2 cv	29506	1760	876	311	116.8%	56155
129	130	ASIAあまなつ	Hu Tao	4	83.2 : 243.9 245.7 cv	25763	1702	892	299	111.0%	56151
130	131	ASIASIX	Hutao	4	77.3 : 252.5 242.5 cv	27070	1945	956	229	100.0%	56144
131	132	ASIASIX	Hu Tao	4	77.3 : 252.5 242.5 cv	27070	1945	956	229	100.0%	56144
132	133	NAPat	Hu Tao	4	77.3 : 236.9 227.0 cv	27907	1782	911	304	100.0%	56140
133	134	ASIAEsno	Hu Tao	4	82.8 : 219.0 220.0 cv	26973	1718	918	353	105.2%	56137
134	135	ASIAFate	Hu Tao	4	86.3 : 195.7 203.7 cv	28396	1728	897	373	110.4%	56137
135	136	ASIAFakePromise	Hu Tao	4	84.3 : 231.5 235.6 cv	31415	1749	1086	210	100.0%	56134
136	137	ASIAkei	Hu Tao	4	87.8 : 211.3 222.4 cv	28029	1729	1042	308	100.0%	56127
137	138	ASIAAgeha	Homa 4 Shime	4	72.3 : 246.3 226.2 cv	28248	1789	934	315	105.8%	56126
138	139	NABooTao	Hu Tao	4	77.7 : 261.0 251.9 cv	25891	1795	913	266	100.0%	56124
139	140	EUNikitid	Hu Tao	4	83.2 : 260.3 262.0 cv	28698	1684	916	206	111.0%	56117
140	141	EUWatsa	Hu Tao	4	82.8 : 240.8 241.8 cv	29298	1744	944	231	109.7%	56095
141	142	NAFate	Hu Tao	4	81.6 : 253.2 251.9 cv	28184	1661	978	250	105.2%	56089
142	143	NAIntelector	Hu Tao But I don't use this one	4	76.6 : 224.5 213.0 cv	30877	1949	966	245	100.0%	56082
143	144	EURaulsvn	Hu Tao	4	80.4 : 231.5 227.8 cv	28116	1749	963	297	100.0%	56056
144	145	EUMacius	Hu Tao	4	74.6 : 247.0 231.7 cv	26734	1692	876	353	122.7%	56049
145	146	CNyingsh1	Hu Tao	4	76.5 : 222.9 211.5 cv	29539	1686	899	353	100.0%	56039
146	147	ASIASleepy~	Hu Tao	4	77.3 : 234.6 224.7 cv	29337	1761	892	287	126.6%	56039
147	148	ASIAパパラッチ	Hu Tao	4	86.3 : 240.0 248.0 cv	28972	1586	957	287	105.8%	56031
148	149	EUItzNoto	Hu Tao	4	77.3 : 261.0 251.1 cv	33918	1798	939	145	100.0%	56028
149	150	ASIAAliyah	Hu Tao	4	83.9 : 225.3 228.6 cv	36155	1842	897	142	116.8%	56021
150	151	ASIAmisaka	Hu Tao	4	83.2 : 232.3 234.0 cv	32231	1805	985	189	104.5%	56014
151	152	NA☆Carlos望み☆	Hu Tao	4	77.3 : 229.9 220.0 cv	31424	1774	921	259	106.5%	56009
152	153	EURisusMalum	Hu Tao	4	83.5 : 231.5 234.0 cv	27614	1704	1042	292	112.3%	55988
153	154	EUdiagolt	⠀	4	68.8 : 238.5 211.4 cv	29511	1787	876	348	100.0%	55986
154	155	EUGizu	Hu Tao	4	87.8 : 221.4 232.5 cv	32253	1793	918	187	100.0%	55981
155	156	ASIAMoco	Hu Tao	4	69.9 : 252.4 227.7 cv	30331	1751	944	290	100.0%	55980
156	157	NAL1me	Hu Tao	4	83.2 : 222.9 224.7 cv	27161	1707	899	332	112.3%	55977
157	158	ASIA文森	Hu Tao	4	83.2 : 246.2 248.0 cv	29207	1722	958	220	105.2%	55968
158	159	ASIAJayden	Hu Tao	4	78.9 : 253.2 246.4 cv	30684	1743	921	206	100.0%	55962
159	160	ASIA뉴비	Hu Tao	4	80.0 : 226.8 222.3 cv	30690	1828	1001	242	100.0%	55940
160	161	EURui	Hu Tao	4	85.1 : 221.4 227.0 cv	25981	1885	892	285	105.8%	55939
161	162	ASIACRAZYKØRN	Hu Tao	4	75.8 : 230.7 217.7 cv	33255	1855	897	219	104.5%	55934
162	163	ASIA栞遠	Hu Tao	4	75.8 : 249.4 236.3 cv	31357	1629	876	292	109.1%	55932
163	164	ASIA❀米子❀	Hu Tao	4	70.3 : 261.8 237.9 cv	28511	1696	876	311	106.5%	55910
164	165	ASIA호두장인	Hu Tao	4	76.2 : 251.7 239.4 cv	26914	1658	993	327	100.0%	55906
165	166	ASIAそ	Hu Tao	4	77.7 : 227.6 218.4 cv	29785	1839	897	271	100.0%	55884
166	167	NAEri	Hu Tao	4	70.3 : 249.4 225.4 cv	28841	1706	876	336	100.0%	55883
167	168	NAHungTao	Hu Tao	4	87.0 : 219.8 229.3 cv	27763	1734	985	285	115.5%	55867
168	169	ASIAWong	Hu Tao	4	77.7 : 245.5 236.3 cv	27760	1836	941	257	100.0%	55865
169	170	NALia✿♡	Hu Tao - Shime	4	87.8 : 219.0 230.1 cv	30145	1796	955	222	100.0%	55857
170	171	NAJeffrey	Hu Tao	4	82.0 : 216.7 216.1 cv	30690	1865	895	245	116.2%	55837
171	172	ASIAYuYuYu	Hu Tao	4	78.1 : 246.3 237.9 cv	29755	1784	876	231	100.0%	55836
172	173	NAnico	hu tao sr	4	81.2 : 228.4 226.2 cv	27886	1780	927	290	115.5%	55818
173	174	NAXsoranin	Hu Tao	4	73.4 : 222.9 205.2 cv	29235	1839	899	334	105.8%	55804
174	175	ASIAAromatherapy	Hu Tao	4	75.0 : 242.4 227.8 cv	32866	1763	975	221	105.2%	55798
175	176	EULysnow	Hu Tao	4	87.4 : 253.2 263.5 cv	27309	1590	876	264	111.7%	55796
176	177	ASIAナンバーセブン	Hu Tao	4	78.9 : 236.2 229.3 cv	37488	1872	876	126	100.0%	55777
177	178	CN百雷遮罗	Hu Tao	4	71.1 : 223.7 201.4 cv	34157	1804	897	273	100.0%	55760
178	179	NAZach	Hu Tao	4	77.3 : 260.2 250.3 cv	28305	1776	897	227	105.2%	55706
179	180	EUSharre	Hu Tao	4	78.9 : 240.0 233.2 cv	27788	1800	916	269	100.0%	55698
180	181	ASIAJT	Hu Tao	4	82.8 : 212.1 213.0 cv	32231	1891	944	219	100.0%	55685
181	182	EUPapilloshi	Hu Tao	4	76.9 : 246.3 235.6 cv	29060	1710	899	271	116.2%	55681
182	183	NAKenji	Hu Tao	4	90.5 : 214.4 230.9 cv	27336	1777	876	266	104.5%	55667
183	184	NATanYeezy	Hu Tao	4	70.3 : 241.6 217.7 cv	28995	1775	895	329	106.5%	55663
184	185	EUSlava	Hu Tao	4	86.3 : 202.0 209.9 cv	32692	1772	876	276	104.5%	55662
185	186	ASIAアズール	Hu Tao	4	78.9 : 242.3 235.5 cv	29955	1722	921	245	100.0%	55661
186	187	ASIAけけけ	Hu Tao	4	72.3 : 261.0 241.0 cv	27581	1743	897	292	100.0%	55661
187	188	EUSalitras	Hu Tao	4	72.3 : 231.5 211.4 cv	30600	1922	892	266	100.0%	55647
188	189	ASIA新人	Hu Tao	4	85.5 : 251.7 258.1 cv	25853	1719	943	241	100.0%	55638
189	190	NABully	Hu Tao	4	84.7 : 226.8 231.7 cv	25795	1707	927	327	111.7%	55637
190	191	EUarveh	Hu Tao	4	83.2 : 229.9 231.7 cv	29992	1788	943	227	100.0%	55632
191	192	EUOnononoki	Hu Tao	4	78.5 : 222.9 215.4 cv	26941	1710	895	373	105.2%	55632
192	193	NAbanana	Hu Tao	4	71.1 : 244.7 222.3 cv	34525	1776	916	217	113.0%	55632
193	194	ASIALonk	Hu Tao	4	84.7 : 268.8 273.6 cv	24349	1663	1026	248	111.7%	55627
194	195	EUUn_Inconnu	Hu Tao	4	71.9 : 265.7 244.9 cv	33736	1821	892	166	100.0%	55626
195	196	EUZecu	Hu Tao	4	85.9 : 226.8 234.0 cv	27275	1770	920	266	111.0%	55619
196	197	EUBochii	Hu Tao	4	83.9 : 230.7 234.0 cv	27546	1865	892	238	100.0%	55617
197	198	EULatias	Hu Tao	4	76.2 : 217.5 205.2 cv	33135	1840	876	252	100.0%	55616
198	199	ASIAXanien	Hu Tao	4	76.9 : 236.9 226.2 cv	27036	1800	876	308	100.0%	55613
199	200	EUКiкi	Double Hydro Mother	4	84.3 : 236.9 241.0 cv	33829	1756	876	168	105.2%	55595
200	201	EUHestia	Hu Tao	4	80.0 : 227.6 223.1 cv	28095	1719	1049	313	100.0%	55589
201	202	NAPrinz	Hu Tao	4	67.6 : 245.5 216.1 cv	30085	1837	876	304	100.0%	55583
202	203	ASIAcá-mập	Hu Tao	4	80.4 : 221.4 217.7 cv	33798	1862	876	193	110.4%	55579
203	204	EURayen	no buffs	4	79.3 : 198.1 192.1 cv	31320	1780	927	336	105.8%	55567
204	205	CN泪子	Hu Tao	4	83.6 : 243.9 246.5 cv	34137	1702	1003	163	100.0%	55555
205	206	NABlu	Hu Tao	4	79.3 : 242.4 236.3 cv	29393	1712	943	252	106.5%	55531
206	207	ASIADark-Lord	Hu Tao	4	73.0 : 254.0 235.5 cv	27885	1723	961	301	106.5%	55520
207	208	CN影宝的三彩团子	Hu Tao	4	77.3 : 246.3 236.3 cv	26073	1756	941	308	105.8%	55518
208	209	ASIAducks	Hu Tao shime	4	75.0 : 234.6 220.0 cv	34041	1800	1036	210	100.0%	55518
209	210	ASIA凱風快晴	Hu Tao	4	78.9 : 245.5 238.7 cv	25465	1683	956	334	105.8%	55506
210	211	NATraveler	Hu Tao	4	82.0 : 208.9 208.4 cv	34404	1773	950	226	109.7%	55505
211	212	EUZecu	Hu Tao	4	88.6 : 211.3 223.9 cv	27910	1815	899	266	105.8%	55501
212	213	EULumine	Hu Tao	4	81.2 : 236.9 234.8 cv	34333	1663	876	205	100.0%	55491
213	214	NASnoopy	Hu Tao	4	81.2 : 211.3 209.1 cv	28549	1740	876	339	104.5%	55465
214	215	EUFanillian	Hu Tao	4	79.7 : 237.7 232.4 cv	28840	1711	876	271	106.5%	55448
215	216	NAGodlander	Who?	4	83.5 : 220.6 223.1 cv	28152	1823	899	269	100.0%	55438
216	217	ASIAおいしい	Hu Tao	4	75.0 : 258.7 244.1 cv	34043	1815	913	152	100.0%	55429
217	218	NANasz	Hu Tao	4	81.2 : 232.3 230.1 cv	33864	1797	944	172	105.2%	55425
218	219	ASIAmisugarnt	Hu Tao	4	75.4 : 222.9 209.1 cv	29424	1764	920	327	100.0%	55418
219	220	NA❀ུ۪Franxe	Hu Tao	4	85.5 : 212.1 218.5 cv	30508	1721	929	266	105.2%	55413
220	221	NALucDex	Hu Tao	4	69.2 : 237.7 211.4 cv	31507	1774	991	299	100.0%	55406
221	222	NAAlex	solo vape ca	4	87.4 : 205.8 216.1 cv	26966	1827	899	306	104.5%	55406
222	223	NAaMu.	Hu Tao	4	88.6 : 237.7 250.3 cv	27704	1569	1065	294	105.8%	55399
223	224	ASIAASHURA	Hu Tao	4	71.1 : 268.8 246.4 cv	33980	1799	934	163	104.5%	55399
224	225	NANana	Hu Tao	4	75.0 : 245.5 230.9 cv	32438	1881	876	186	105.8%	55396
225	226	ASIA1BanIn	Hu Tao	4	84.3 : 246.2 250.3 cv	26937	1655	897	259	115.5%	55384
226	227	CN大靓仔	Hu Tao	4	76.5 : 240.8 229.3 cv	31862	1861	997	198	100.0%	55379
227	228	NAMeiziu	Hu Tao	4	76.9 : 205.1 194.4 cv	33103	1862	876	273	117.5%	55374
228	229	ASIAwalleR	Hu Tao	4	85.9 : 221.4 228.6 cv	32075	1941	940	161	100.0%	55371
229	230	NANyo	Hu Tao	4	76.6 : 263.4 251.9 cv	32497	1753	897	163	104.5%	55367
230	231	NAAñañin	Hu Tao	4	65.3 : 231.5 197.5 cv	31624	1784	876	353	105.2%	55362
231	232	NALevs	Hu Tao	4	71.9 : 239.2 218.4 cv	32504	1816	932	240	100.0%	55359
232	233	EUSaeth	Hu Tao	4	76.2 : 270.3 258.1 cv	28304	1683	1024	231	105.2%	55348
233	234	ASIASICK	Hu Tao	4	70.7 : 222.9 199.8 cv	34273	1771	876	277	105.2%	55337
234	235	NATyler	Hu Tao Main Build	4	75.8 : 222.9 209.9 cv	29970	1817	972	294	100.0%	55331
235	236	ASIAGoldenglow	Hu Tao	4	85.9 : 226.0 233.2 cv	28247	1832	943	229	105.8%	55327
236	237	NARaitori	Hu Tao	4	76.9 : 227.6 216.9 cv	32231	1769	1067	245	100.0%	55326
237	238	ASIAdogshid	Hu Tao SR/H2	4	82.4 : 237.7 237.9 cv	28723	1704	959	250	100.0%	55320
238	239	ASIAHAGY	Hu Tao	4	74.6 : 242.4 227.0 cv	31836	1798	1055	224	100.0%	55317
239	240	CNRama	Hu Tao	4	75.4 : 226.8 213.0 cv	30169	1715	899	313	111.0%	55310
240	241	ASIAStella	Hu Tao	4	72.3 : 229.9 209.9 cv	27704	1717	892	387	100.0%	55308
241	242	ASIA8ightman	Hu Tao	4	81.2 : 205.1 202.9 cv	32135	1805	911	268	111.0%	55295
242	243	NAC6QiqiComeHome	Hu Tao	4	88.2 : 251.7 263.5 cv	26911	1758	997	187	104.5%	55295
243	244	NAkohi	Hu Tao	4	79.7 : 213.6 208.3 cv	28239	1733	897	350	118.1%	55294
244	245	ASIAMilleu	Hu Tao	4	85.1 : 252.5 258.1 cv	33591	1825	972	103	105.8%	55284
245	246	EUAlex	Hu Tao	4	81.2 : 238.5 236.3 cv	30424	1781	1046	208	112.3%	55284
